Name,Index
"Cheese, goat, semisoft type",173433
"Yogurt, Greek, 2% fat, key lime blend, CHOBANI",173434
"Cheese, goat, soft type",173435
"Egg, yolk, raw, frozen, salted, pasteurized",173436
"Cheese substitute, mozzarella",172198
"Yogurt, Greek, 2% fat, mango, CHOBANI",172199
"Cheese sauce, prepared from recipe",172200
"Cheese, mexican, queso anejo",172201
"Cheese, mexican, queso asadero",173437
"Cheese, mexican, queso chihuahua",173438
"Cheese, low fat, cheddar or colby",173439
"Cheese, low-sodium, cheddar or colby",173440
"Egg, whole, raw, frozen, pasteurized (Includes foods for USDA's Food Distribution Program)",172202
"Egg, white, raw, frozen, pasteurized",172203
"Egg, white, dried",172204
"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",172205
"Milk, fluid, 1% fat, without added vitamin A and vitamin D",173441
"Sour cream, reduced fat",173442
"Sour cream, light",173443
"Sour cream, fat free",173444
"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener",173445
"Parmesan cheese topping, fat free",172206
"Cheese, cream, fat free",172207
"Yogurt, chocolate, nonfat milk",172208
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce,172209
KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product,173446
KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product,173447
KRAFT VELVEETA Pasteurized Process Cheese Spread,173448
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product,173449
KRAFT BREAKSTONE'S Reduced Fat Sour Cream,172210
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,172211
"Cream, half and half, fat free",172212
Reddi Wip Fat Free Whipped Topping,172213
"Milk, chocolate, fluid, commercial, reduced fat, with added calcium",173450
"Yogurt, fruit, lowfat, with low calorie sweetener",173451
"Cheese, parmesan, dry grated, reduced fat",173452
"Cream substitute, flavored, liquid",173453
"Cream substitute, flavored, powdered",172214
"Cheese, provolone, reduced fat",172215
"Cheese, Mexican, blend, reduced fat",172216
"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",172217
"Milk, dry, whole, without added vitamin D",173454
"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",173455
"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D",173456
"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D",173457
"Yogurt, fruit variety, nonfat, fortified with vitamin D",173458
"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D",172218
"Yogurt, vanilla, low fat, fortified with vitamin D",172219
"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D",172220
"Yogurt, chocolate, nonfat milk, fortified with vitamin D",172221
"Protein supplement, milk based, Muscle Milk, powder",173459
"Protein supplement, milk based, Muscle Milk Light, powder",173460
Dulce de Leche,173461
"Egg substitute, liquid or frozen, fat free",173462
"Cheese, dry white, queso seco",172222
"Cheese, fresh, queso fresco",172223
"Cheese, white, queso blanco",172224
"Milk, buttermilk, fluid, whole",172225
"Yogurt, vanilla flavor, lowfat milk, sweetened with low calorie sweetener",173463
"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",173464
"Ice cream, soft serve, chocolate",173465
"Ice cream, bar or stick, chocolate covered",173466
Ice cream sandwich,172226
Ice cream cookie sandwich,172227
"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",172228
"Ice cream sandwich, made with light ice cream, vanilla",172229
"Ice cream sandwich, vanilla, light, no sugar added",172230
"Fat free ice cream, no sugar added, flavors other than chocolate",173467
"Milk dessert bar, frozen, made from lowfat milk",170890
"Yogurt, Greek, 2% fat,mixed berry blend, CHOBANI",170891
"Nutritional supplement for people with diabetes, liquid",170892
"Cheese, Mexican blend",171288
"Cheese product, pasteurized process, American, vitamin D fortified",171289
"Cheese, pasteurized process, American, without added vitamin D",171290
"Cheese food, pasteurized process, American, without added vitamin D",171291
"Egg, whole, raw, frozen, salted, pasteurized",170893
"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)",170894
"Egg, white, dried, stabilized, glucose reduced",170895
"Cheese spread, American or Cheddar cheese base, reduced fat",170896
"Cheese, cheddar, reduced fat (Includes foods for USDA's Food Distribution Program)",171292
"Ice cream, light, soft serve, chocolate",171293
"Ice cream bar, stick or nugget, with crunch coating",171294
"Cheese, cheddar, nonfat or fat free",171295
"Cheese, Swiss, nonfat or fat free",170897
"Cheese, mexican, queso cotija",170898
"Cheese, cheddar, sharp, sliced",170899
"Cheese, mozzarella, low moisture, part-skim, shredded",170900
"Yogurt, Greek, nonfat, vanilla, CHOBANI",171296
"Yogurt, Greek, strawberry, DANNON OIKOS",171297
"Yogurt, Greek, nonfat, vanilla, DANNON OIKOS",171298
"Yogurt, Greek, nonfat, strawberry, DANNON OIKOS",171299
"Yogurt, Greek, strawberry, lowfat",171300
"Yogurt, Greek, strawberry, nonfat",170901
"Yogurt, Greek, vanilla, nonfat",170902
"Yogurt, Greek, plain, lowfat",170903
"Kefir, lowfat, plain, LIFEWAY",170904
"Kefir, lowfat, strawberry, LIFEWAY",171301
"Milk, evaporated, 2% fat, with added vitamin A and vitamin D",171302
"Milk, chocolate, fat free, with added vitamin A and vitamin D",171303
"Yogurt, Greek, plain, whole milk",171304
"Yogurt, Greek, fruit, whole milk",170905
"Yogurt, vanilla, non-fat",170906
"Yogurt, Greek, vanilla, lowfat",170907
"Yogurt, frozen, flavors other than chocolate, lowfat",170908
"Ice cream bar, covered with chocolate and nuts",171305
Ice cream sundae cone,171306
"Light ice cream, Creamsicle",171307
"Cream, half and half, lowfat",171308
"Yogurt, Greek, 2% fat, pineapple, CHOBANI",170909
"Milk, chocolate, lowfat, reduced sugar",170910
"Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate sauce",170911
"Yogurt, Greek, 2% fat, strawberry banana, CHOBANI",170912
"Yogurt, Greek, whole, plain, CHOBANI",171309
"Yogurt, Greek, nonfat, lemon blend, CHOBANI",171310
"Yogurt, Greek, nonfat, peach, CHOBANI",171311
"Yogurt, Greek, nonfat, plain, CHOBANI",171312
"Yogurt, Greek, nonfat, raspberry, CHOBANI",171313
"Yogurt, Greek, nonfat, Fruit on Bottom, Pomegranate, CHOBANI",170913
"Yogurt, Greek, Blueberry, CHOBANI",170914
"Yogurt, Greek, nonfat, Fruit on Bottom, Strawberry, CHOBANI",170915
"Yogurt, Greek, nonfat, Fruit on Bottom, Blackberry, CHOBANI",170916
"Butter, Clarified butter (ghee)",171314
"Spices, allspice, ground",171315
"Spices, anise seed",171316
"Spices, basil, dried",171317
"Spices, bay leaf",170917
"Spices, caraway seed",170918
"Spices, cardamom",170919
"Spices, celery seed",170920
"Spices, chervil, dried",171318
"Spices, chili powder",171319
"Spices, cinnamon, ground",171320
"Spices, cloves, ground",171321
"Spices, coriander leaf, dried",170921
"Spices, coriander seed",170922
"Spices, cumin seed",170923
"Spices, curry powder",170924
"Spices, dill seed",170925
"Spices, dill weed, dried",171322
"Spices, fennel seed",171323
"Spices, fenugreek seed",171324
"Spices, garlic powder",171325
"Spices, ginger, ground",170926
"Spices, mace, ground",170927
"Spices, marjoram, dried",170928
"Spices, mustard seed, ground",170929
"Spices, nutmeg, ground",171326
"Spices, onion powder",171327
"Spices, oregano, dried",171328
"Spices, paprika",171329
"Spices, parsley, dried",170930
"Spices, pepper, black",170931
"Spices, pepper, red or cayenne",170932
"Spices, pepper, white",170933
"Spices, poppy seed",171330
"Spices, poultry seasoning",171331
"Spices, pumpkin pie spice",171332
"Spices, rosemary, dried",171333
"Spices, saffron",170934
"Spices, sage, ground",170935
"Spices, savory, ground",170936
"Spices, tarragon, dried",170937
"Spices, thyme, dried",170938
"Spices, turmeric, ground",172231
"Basil, fresh",172232
"Dill weed, fresh",172233
"Mustard, prepared, yellow",172234
"Salt, table",173468
"Vinegar, cider",173469
"Thyme, fresh",173470
Vanilla extract,173471
"Vanilla extract, imitation, alcohol",172235
"Vanilla extract, imitation, no alcohol",172236
"Vinegar, distilled",172237
"Capers, canned",172238
"Horseradish, prepared",173472
"Rosemary, fresh",173473
"Peppermint, fresh",173474
"Spearmint, fresh",173475
"Spearmint, dried",172239
"Vinegar, red wine",172240
"Vinegar, balsamic",172241
"Seasoning mix, dry, sazon, coriander & annatto",172242
"Seasoning mix, dry, taco, original",172243
"Seasoning mix, dry, chili, original",173476
Clif Z bar,173477
"Babyfood, juice treats, fruit medley, toddler",173478
"Babyfood, meat, beef, strained",173479
"Babyfood, meat, beef, junior",172244
"Babyfood, meat, veal, strained",172245
"Babyfood, meat, pork, strained",172246
"Babyfood, meat, ham, strained",172247
"Babyfood, meat, ham, junior",173480
"Babyfood, meat, lamb, strained",173481
"Babyfood, meat, lamb, junior",173482
"Babyfood, meat, chicken, strained",173483
"Babyfood, meat, chicken, junior",172248
"Babyfood, meat, chicken sticks, junior",172249
"Babyfood, meat, turkey, strained",172250
"Babyfood, meat, turkey, junior",172251
"Babyfood, meat, turkey sticks, junior",173484
"Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars",173485
"Babyfood, meat, meat sticks, junior",173486
"Babyfood, GERBER, 2nd Foods, apple, carrot and squash, organic",173487
"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon",172252
"Babyfood, water, bottled, GERBER, without added fluoride",172253
"Babyfood, GERBER, 3rd Foods, apple, mango and kiwi",172254
"Babyfood, tropical fruit medley",172255
"Babyfood, dinner, vegetables and dumplings and beef, strained",172256
"Babyfood, dinner, vegetables and dumplings and beef, junior",173488
"Babyfood, dinner, beef lasagna, toddler",173489
"Babyfood, dinner, macaroni and tomato and beef, strained",173490
"Babyfood, dinner, macaroni and tomato and beef, junior",173491
"Babyfood, ravioli, cheese filled, with tomato sauce",172257
"Babyfood, dinner, beef noodle, strained",172258
"Babyfood, macaroni and cheese, toddler",172259
"Babyfood, dinner, beef and rice, toddler",172260
"Babyfood, dinner, spaghetti and tomato and meat, junior",173492
"Babyfood, dinner, spaghetti and tomato and meat, toddler",173493
"Babyfood, dinner, vegetables and beef, strained",173494
"Babyfood, dinner, vegetables and beef, junior",173495
"Babyfood, dinner, beef with vegetables",172261
"Babyfood, dinner, vegetables and lamb, junior",172262
"Babyfood, dinner, chicken noodle, strained",172263
"Babyfood, dinner, chicken noodle, junior",172264
"Babyfood, dinner, chicken soup, strained",173496
"Babyfood, dinner, chicken stew, toddler",173497
"Babyfood, dinner, vegetables chicken, strained",173498
"Babyfood, dinner, vegetables, noodles and chicken, strained",173499
"Babyfood, dinner, vegetables, noodles and chicken, junior",172265
"Babyfood, dinner, pasta with vegetables",172266
"Babyfood, dinner, vegetables and noodles and turkey, strained",172267
"Babyfood, dinner, vegetables and noodles and turkey, junior",172268
"Babyfood, dinner, turkey and rice, strained",172269
"Babyfood, dinner, turkey and rice, junior",173500
"Babyfood, dinner, vegetables and turkey, strained",173501
"Babyfood, dinner, vegetables and turkey, junior",173502
"Babyfood, dinner, macaroni and cheese, strained",173503
"Babyfood, dinner, macaroni and cheese, junior",172270
"Babyfood, vegetables, green beans, strained",172271
"Babyfood, vegetables, green beans, junior",172272
"Babyfood, green beans, dices, toddler",172273
"Babyfood, vegetable, green beans and potatoes",173504
"Babyfood, vegetables, beets, strained",173505
"Babyfood, vegetables, carrots, strained",173506
"Babyfood, vegetables, carrots, junior",173507
"Babyfood, vegetables, squash, strained",172274
"Babyfood, vegetables, squash, junior",172275
"Babyfood, vegetables, sweet potatoes strained",172276
"Babyfood, vegetables, sweet potatoes, junior",172277
"Babyfood, potatoes, toddler",173508
"Babyfood, cereal, Oatmeal, dry, GERBER, SINGLE GRAIN, fortified",173509
"Babyfood, vegetable, butternut squash and corn",173510
"Babyfood, apples, dices, toddler",173511
"Babyfood, fruit, applesauce, strained",173512
"Babyfood, fruit, applesauce, junior",172278
"Babyfood, fruit, apricot with tapioca, strained",172279
"Babyfood, vegetables, corn, creamed, strained",172280
"Babyfood, vegetables, corn, creamed, junior",171334
"Babyfood, vegetables, peas, strained",170939
"Babyfood, peas, dices, toddler",170940
"Babyfood, vegetables, spinach, creamed, strained",170941
"Babyfood, fruit, apricot with tapioca, junior",170942
"Babyfood, fruit, bananas with tapioca, strained",171335
"Babyfood, fruit, peaches, strained",171336
"Babyfood, fruit, peaches, junior",171337
"Babyfood, fruit, pears, strained",171338
"Babyfood, fruit, pears, junior",170943
